repo,readme_present,llms_present,stale_readme_hit,placeholder_hit,problem_count,problems
NRH-SCI-Vent,True,True,False,False,0,
AOM-and-Bari-Surg-for-OSA-SRMA,True,False,False,False,0,
vr_icu,True,True,False,False,0,
hickams-dictum,True,True,False,False,0,
CSA-CPAP-Prescribing,True,True,False,False,0,
CPAPOutcomes,True,True,False,False,0,
NHPI-OSA-Burden,True,True,False,False,0,
CTPA-Dose-Response,True,True,False,False,0,
Hypercap-Case-Definitions,True,True,False,False,0,
Splenectomy-PE,True,True,False,False,0,
Hypercap-Trial-Adverse-Events,True,True,False,False,0,
code-seminar-analysis,True,True,False,False,0,
llm_estimate_lrs,True,True,False,False,0,
abg-vbg-project,True,False,False,False,0,
tcco2-accuracy,True,True,False,False,0,
TriNetXHypercapnia,True,True,False,False,0,
trinetx-preprocessing,True,True,False,False,0,
Bari-CPAP,True,True,False,False,0,
CSA,True,True,False,False,0,
StateVetsHome,True,True,False,False,0,
tele_crit_care,True,True,False,False,0,
notebooks_dx_reasoning,True,False,False,False,0,
clinical_talks,True,True,False,False,0,
U-of-U-IM-Codes-and-Rapid-Responses,True,True,False,False,0,
intro_clin_research,True,True,False,False,0,
fellow_stats,True,True,False,False,0,
stata-codex-skills,True,True,False,False,0,
conf_curve_likelihood,True,True,False,False,0,
stewart-light,True,True,False,False,0,
forensic_metascience,True,True,False,False,0,
sofa_resp_sim,True,True,False,False,0,
sodium_change,True,True,False,False,0,
dx_chat_entropy,True,True,False,False,0,
