repo,visibility,category,cv_mapping,doi,pmid,manuscript_source,copyright_status,readme_gaps,data_code_sensitivity,run_command,dependency_source,license_status,planned_pr
NRH-SCI-Vent,public,published-code,Post-Acute Ventilator Weaning and Discharge Outcomes in Individuals With Cervical Spinal Cord Injury,10.1177/19433654261428406,41823210,No public manuscript Markdown yet; use DOI and repo release metadata until accepted manuscript rights are checked,Publisher article not copied; code MIT; generated figures/tables subject to author/journal policy,AGENTS missing before first rollout; otherwise README mostly complete,Restricted EHR data not public; no PHI should be committed,"stata-mp -b do ""NRH SCI Cohort Paper Analysis.do""; stata-mp -b do ""NRH SCI Cohort Supplemental Sensitivity Analyses.do""",Stata 18 plus README/CITATION metadata,MIT,https://github.com/reblocke/NRH-SCI-Vent/pull/1
AOM-and-Bari-Surg-for-OSA-SRMA,public,published-code-data,The association of weight loss from anti-obesity medications or bariatric surgery and apnea-hypopnea index in obstructive sleep apnea,10.1111/obr.13697,38342767,PubMed Central open-access article available; repo should still avoid copying publisher-formatted PDF,Open-access article and study-level extraction tables; code MIT; cite article for data reuse,AGENTS missing before first rollout; README needs explicit variable/codebook pointer,Study-level extraction data only; no patient-level PHI,"stata-mp -b do ""OSA Wt Loss SRMA.do""",Stata and included Excel workbooks,MIT,https://github.com/reblocke/AOM-and-Bari-Surg-for-OSA-SRMA/pull/1
vr_icu,public,published-code-materials,Immersive Virtual Reality Use in Medical Intensive Care: Mixed Methods Feasibility Study,10.2196/62842,,No public manuscript Markdown audited yet; use DOI and repository materials pending accepted-version check,Open-access JMIR article may be linkable; verify reuse before copying full text,Needs AGENTS and READMEBuilder section audit,Study materials and de-identified outputs only; confirm no participant identifiers,Review README-defined Stata workflow,Stata and repo README,CHECK,https://github.com/reblocke/vr_icu/pull/1
hickams-dictum,public,published-code-data,Hickam's Dictum: An Analysis of Multiple Diagnoses,10.1007/s11606-024-09120-y,,No public manuscript Markdown audited yet; use DOI pending accepted-version check,Publisher text not copied; code/data license present,Needs AGENTS and READMEBuilder section audit,Check for synthetic/de-identified data status before broad reuse,Review README-defined Stata workflow,Stata and repo README,MIT,https://github.com/reblocke/hickams-dictum/pull/1
CSA-CPAP-Prescribing,public,published-code,Predictors of Initial CPAP Prescription and Subsequent Course with CPAP in Patients with Central Sleep Apneas at a Single Center,10.1007/s00408-023-00657-z,,Local accepted draft candidate exists in CSA folder; publisher-policy check needed before Markdown,Publisher text not copied; code license present,Needs AGENTS and READMEBuilder section audit,Clinical sleep-center data likely restricted; verify no PHI,stata-mp -b do <main .do>,Stata and repo README,MIT,https://github.com/reblocke/CSA-CPAP-Prescribing/pull/1
CPAPOutcomes,public,published-code,Electronic health record-derived outcomes in obstructive sleep apnea managed with positive airway pressure tracking systems,10.5664/jcsm.9750,,No public manuscript Markdown audited yet; use DOI pending accepted-version check,Publisher text not copied; license missing in first audit,Needs LICENSE/AGENTS and READMEBuilder section audit,Clinical EHR-derived data likely restricted; verify no PHI,Review README-defined Python workflow,Python dependency files if present,MISSING,https://github.com/reblocke/CPAPOutcomes/pull/1
NHPI-OSA-Burden,public,published-code,Severity Comorbidities and Adherence to Therapy in Native Hawaiians Pacific Islanders With Obstructive Sleep Apnea,10.5664/jcsm.10472,,Local manuscript draft candidates exist; publisher-policy check needed before Markdown,Publisher text not copied; code license present,Needs CITATION/AGENTS and READMEBuilder section audit,Clinical data likely restricted; verify no PHI,Review README-defined Stata workflow,Stata and repo README,MIT,https://github.com/reblocke/NHPI-OSA-Burden/pull/1
CTPA-Dose-Response,public,published-code,Pulmonary artery enlargement and mortality in an emergency department CTPA population,10.1002/pul2.12225,,Local manuscript candidates exist in PA-size project; publisher-policy check needed before Markdown,Publisher text not copied; license missing in first audit,Needs CITATION/LICENSE/AGENTS and READMEBuilder section audit,Clinical imaging/EHR data likely restricted; verify no PHI,Review README-defined workflow,Repo README and scripts,MISSING,https://github.com/reblocke/CTPA-Dose-Response/pull/1
Hypercap-Case-Definitions,public,published-code,The Consistency of Hypercapnic Respiratory Failure Case Definitions in Electronic Health Record Data,10.1016/j.chest.2025.08.002,,CHEST preproof PDF exists locally; do not copy publisher text; seek accepted manuscript,Publisher article not copied; code license present,Needs CITATION/AGENTS and READMEBuilder section audit,TriNetX/EHR-derived data likely restricted; verify no PHI,Review Stata script workflow,Stata and repo README,MIT,https://github.com/reblocke/Hypercap-Case-Definitions/pull/1
Splenectomy-PE,public,published-code,Splenectomy Increases CTEPH Risk and Modifies Clinical Features of Acute Pulmonary Embolism,10.1002/pul2.70231,,No public manuscript Markdown audited yet; use DOI pending accepted-version check,Publisher text not copied; code license present,Needs AGENTS and homepage update from abstract DOI to final paper DOI,Clinical dataset likely restricted; verify no PHI,Review README-defined workflow,Repo README and scripts,MIT,https://github.com/reblocke/Splenectomy-PE/pull/1
Hypercap-Trial-Adverse-Events,public,abstract-code,Hypercapnic Respiratory Failure is Infrequently Reported as an Adverse Event in Clinical Trials,,,No manuscript version expected yet; use abstract/repo summary,Do not add unpublished manuscript text,Needs AGENTS and READMEBuilder section audit,Trial-registry/public extracted data; verify source licensing,Review notebook workflow,Jupyter requirements if present,MIT,https://github.com/reblocke/Hypercap-Trial-Adverse-Events/pull/1
